File Name, File Size
ERR013172_1.fastq.gz,2149779725
ERR015499_1.fastq.gz,2565113435
ERR015528_1.fastq.gz,2773770229
ERR015762_1.fastq.gz,2330783632
ERR015872_1.fastq.gz,2094267874
ERR015874_1.fastq.gz,2017427410
ERR015880_1.fastq.gz,3179777429
ERR015964_1.fastq.gz,2391251107
ERR016294_1.fastq.gz,1924688643
ERR016326_1.fastq.gz,2962859843
ERR016327_1.fastq.gz,4091919508
ERR016338_1.fastq.gz,2312019116
ERR016344_1.fastq.gz,2441875387
ERR018197_1.fastq.gz,2769601391
ERR018198_1.fastq.gz,2940489805
ERR018204_1.fastq.gz,2834987902
ERR018416_1.fastq.gz,4642960047
ERR018423_1.fastq.gz,2074564581
ERR018435_1.fastq.gz,2074804536
ERR018442_1.fastq.gz,4238943221
ERR018448_1.fastq.gz,1889860913
ERR018454_1.fastq.gz,4780263286
ERR018460_1.fastq.gz,2262114215
ERR018463_1.fastq.gz,2164110037
ERR018469_1.fastq.gz,2239111491
ERR018475_1.fastq.gz,2211401602
ERR018476_1.fastq.gz,7356216287
ERR018482_1.fastq.gz,2170573337
ERR018489_1.fastq.gz,5499000298
ERR018491_1.fastq.gz,5701436052
ERR018492_1.fastq.gz,7664182640
ERR018497_1.fastq.gz,3329418299
ERR018501_1.fastq.gz,2459349302
ERR018504_1.fastq.gz,2666545074
ERR018515_1.fastq.gz,1973629206
ERR018517_1.fastq.gz,2371486598
ERR018527_1.fastq.gz,3847471125
ERR018544_1.fastq.gz,2814407859
ERR018547_1.fastq.gz,2013416056
ERR018548_1.fastq.gz,2317951006
ERR018550_1.fastq.gz,2278833663
ERR018555_1.fastq.gz,2081682332
ERR018558_1.fastq.gz,1896452295
ERR019479_1.fastq.gz,2365730992
ERR019481_1.fastq.gz,3900477197
ERR019482_1.fastq.gz,2706272216
ERR019485_1.fastq.gz,2441432319
ERR019488_1.fastq.gz,2104105882
ERR019491_1.fastq.gz,2034197434
ERR019492_1.fastq.gz,2488892983
ERR019495_1.fastq.gz,3468735901
ERR019498_1.fastq.gz,3060426811
ERR019895_1.fastq.gz,2268825114
ERR019897_1.fastq.gz,2738955573
ERR019903_1.fastq.gz,3141571860
ERR019907_1.fastq.gz,2794233473
ERR020157_1.fastq.gz,2443509492
ERR020229_1.fastq.gz,7935033227
ERR020232_1.fastq.gz,8446029064
ERR020235_1.fastq.gz,7573010420
ERR020238_1.fastq.gz,7675313729
ERR020239_1.fastq.gz,6724210649
ERR020241_1.fastq.gz,6975795608
ERR020245_1.fastq.gz,6348858832
ERR020247_1.fastq.gz,7541381198
ERR020253_1.fastq.gz,7082894295
ERR020257_1.fastq.gz,6490122051
ERR020263_1.fastq.gz,7402379681
ERR020264_1.fastq.gz,7960293531
ERR020270_1.fastq.gz,6896818737
ERR020276_1.fastq.gz,8142738770
ERR020282_1.fastq.gz,8461906606
ERR020288_1.fastq.gz,7439857795
ERR020289_1.fastq.gz,7370170068
ERR022393_1.fastq.gz,2001534139
ERR022429_1.fastq.gz,1923139983
ERR022450_1.fastq.gz,3349255117
ERR022456_1.fastq.gz,7332839222
ERR022457_1.fastq.gz,4061140619
ERR022463_1.fastq.gz,4940345409
ERR022469_1.fastq.gz,6197998431
ERR023204_1.fastq.gz,2919782341
ERR023210_1.fastq.gz,2836993222
ERR023211_1.fastq.gz,2825303652
ERR023220_1.fastq.gz,3069178564
ERR023221_1.fastq.gz,2658209845
ERR034767_1.fastq.gz,3650164932
ERR034771_1.fastq.gz,4403972722
ERR034773_1.fastq.gz,3835581389
ERR034774_1.fastq.gz,4210079797
ERR034777_1.fastq.gz,4364966195
ERR038223_1.fastq.gz,4078445323
ERR042501_1.fastq.gz,9178833055
ERR042502_1.fastq.gz,9750471910
ERR042508_1.fastq.gz,8632610088
ERR042514_1.fastq.gz,10029907787
ERR042520_1.fastq.gz,7984619256
ERR042526_1.fastq.gz,9563512988
ERR042527_1.fastq.gz,9742931903
ERR043054_1.fastq.gz,4801684330
ERR044535_1.fastq.gz,7929373596
ERR050086_1.fastq.gz,2510891362
ERR050092_1.fastq.gz,2001195234
ERR050093_1.fastq.gz,1881610364
ERR050104_1.fastq.gz,1876883536
ERR050110_1.fastq.gz,2605832681
ERR050116_1.fastq.gz,2402153357
ERR050130_1.fastq.gz,1849384682
ERR050149_1.fastq.gz,2435275272
ERR050155_1.fastq.gz,2072297605
ERR050159_1.fastq.gz,2155832277
ERR050172_1.fastq.gz,1931522817
ERR050184_1.fastq.gz,2133709109
ERR050190_1.fastq.gz,2470134909
ERR050191_1.fastq.gz,2153886528
ERR050197_1.fastq.gz,2136954826
ERR050201_1.fastq.gz,2412058476
ERR052834_1.fastq.gz,3958838599
ERR052836_1.fastq.gz,4386729041
ERR052837_1.fastq.gz,4737140367
ERR052840_1.fastq.gz,3656103767
ERR055329_1.fastq.gz,15892910916
ERR055332_1.fastq.gz,16520465796
ERR055333_1.fastq.gz,17150140425
ERR055335_1.fastq.gz,17260946275
ERR055339_1.fastq.gz,17219850570
ERR055341_1.fastq.gz,15625778277
ERR055395_1.fastq.gz,17766092308
ERR055734_1.fastq.gz,2422688943
ERR055735_1.fastq.gz,2607856313
ERR055738_1.fastq.gz,3201808726
ERR055745_1.fastq.gz,2158472028
ERR055757_1.fastq.gz,2000813118
ERR055770_1.fastq.gz,2248733432
ERR055773_1.fastq.gz,1861913970
ERR056985_1.fastq.gz,2482986988
ERR056986_1.fastq.gz,2573491096
ERR056988_1.fastq.gz,2836717998
ERR059927_1.fastq.gz,1983865379
ERR059929_1.fastq.gz,2208478876
ERR059931_1.fastq.gz,2805530817
ERR059937_1.fastq.gz,2272624754
ERR059939_1.fastq.gz,2875034206
ERR060198_1.fastq.gz,2233157549
ERR060204_1.fastq.gz,2118970648
ERR060210_1.fastq.gz,2355064670
ERR062906_1.fastq.gz,1999838383
ERR062918_1.fastq.gz,2011696328
ERR062930_1.fastq.gz,2362389943
ERR062934_1.fastq.gz,2106481239
ERR062940_1.fastq.gz,2730241950
ERR062941_1.fastq.gz,2590434561
