File Name, File Size
ERR022429_2.fastq.gz,1894594925
ERR022450_2.fastq.gz,3506462120
ERR022456_2.fastq.gz,7376861581
ERR022457_2.fastq.gz,4100260159
ERR022463_2.fastq.gz,5168829037
ERR022469_2.fastq.gz,6249185653
ERR023204_2.fastq.gz,3066810580
ERR023210_2.fastq.gz,3060305359
ERR023211_2.fastq.gz,3052631367
ERR023220_2.fastq.gz,3185878698
ERR023221_2.fastq.gz,2797004349
ERR062924_2.fastq.gz,1627469994
ERR062930_2.fastq.gz,2346162935
ERR062934_2.fastq.gz,2097716420
ERR062940_2.fastq.gz,2707991061
ERR062941_2.fastq.gz,2570313508
ERR062947_2.fastq.gz,1694119306
ERR062953_2.fastq.gz,2546254577
ERR062959_2.fastq.gz,2600643737
ERR062966_2.fastq.gz,1834589418
ERR062967_2.fastq.gz,2017910641
ERR062973_2.fastq.gz,2155872725
ERR062979_2.fastq.gz,2223743699
ERR065364_2.fastq.gz,4297587947
ERR068392_2.fastq.gz,2283581423
SRR111943_2.fastq.gz,8356621080
SRR793879_2.fastq.gz,1535408802
SRR794275_2.fastq.gz,3523797026
SRR794312_2.fastq.gz,3880113950
SRR794319_2.fastq.gz,3018563490
SRR794349_2.fastq.gz,4185990262
SRR794355_2.fastq.gz,4352695259
SRR794367_2.fastq.gz,3626797124
SRR794387_2.fastq.gz,3266559498
SRR794397_2.fastq.gz,3666850770
SRR794398_2.fastq.gz,3670488089
SRR799760_2.fastq.gz,1145716260
