	spots	bases	spots_with_mates	avgLength	size_MB	InsertSize	ProjectID	TaxID	None_mqc-generalstats-fastqc-percent_duplicates	None_mqc-generalstats-fastqc-percent_gc	None_mqc-generalstats-fastqc-avg_sequence_length	None_mqc-generalstats-fastqc-median_sequence_length	None_mqc-generalstats-fastqc-percent_fails	None_mqc-generalstats-fastqc-total_sequences	Unique Reads	Duplicate Reads	fsch_Per Base Sequence Quality	fsch_Per Tile Sequence Quality	fsch_Per Sequence Quality Scores	fsch_Per Base Sequence Content	fsch_Per Sequence GC Content	fsch_Per Base N Content	fsch_Sequence Length Distribution	fsch_Sequence Duplication Levels	fsch_Overrepresented Sequences	fsch_Adapter Content	Label
127	116256776	20926219680	116256776	180	16390	471	42575	9606	7.674809917	40	90	90	9.090909091	116.256776	107334290	8922486	0.25	1	1	1	0.5	1	1	1	0.5	1	1709
128	102806237	18505122660	102806237	180	13857	479	42559	9606	7.490044224	41	90	90	9.090909091	102.806237	95106005	7700232	0.25	1	1	1	0.5	1	1	1	0.5	1	1480
129	65130404	13156341608	0	202	6659	385	177415	9606	1.225874532	40	101	101	10	65.130404	64331987	798417	0.25	0	1	1	0.5	1	1	1	1	1	1339
130	56995254	11399050800	56995254	200	7413	322	42557	9606	5.834825635	41	100	100	9.090909091	56.995254	53669681	3325573	1	0.25	1	0.5	0.5	1	1	1	1	1	1123
131	58957942	10612429560	58957942	180	7887	464	42559	9606	5.915706771	42	90	90	0	58.957942	55470164	3487778	1	1	1	1	0.5	1	1	1	1	1	987
132	52627806	10525561200	52627806	200	5614	427	41223	9606	2.565169562	42	100	100	18.18181818	52.627806	51277814	1349992	1	0.25	1	1	0.25	1	1	1	1	1	1142
133	53206967	10641393400	53206967	200	6449	332	41139	9606	6.793222525	41	100	100	0	53.206967	49592500	3614467	1	1	1	0.5	0.5	1	1	1	1	1	1116
134	48420130	9684026000	48420130	200	5166	427	41223	9606	2.108270554	42	100	100	9.090909091	48.42013	47399303	1020827	1	0.25	1	1	0.5	1	1	1	1	1	1127
135	51205353	10241070600	51205353	200	6408	323	173699	9606	6.836725382	42	100	100	0	51.205353	47704584	3500769	1	0.5	1	0.5	0.5	1	1	1	1	1	1101
136	43680280	8736056000	43680280	200	4650	427	41223	9606	2.086409203	43	100	100	9.090909091	43.68028	42768931	911349	1	0.25	1	1	0.5	1	1	1	1	1	1066
137	44232974	8846594800	0	200	5590	322	59833	9606	6.57099072	40	100	100	0	44.232974	41326430	2906544	1	0.5	1	0.5	0.5	1	1	1	1	1	1002
138	43489526	8697905200	0	200	5509	304	59833	9606	7.4240277	39	100	100	0	43.489526	40260852	3228674	1	1	1	0.5	0.5	1	1	1	1	1	983
139	42445727	8489145400	42445727	200	5502	348	42557	9606	8.756707599	41	100	100	0	42.445727	38728879	3716848	1	0.5	1	0.5	0.5	1	1	1	1	1	970
140	40954912	8190982400	40954912	200	5430	342	33865	9606	5.871295583	41	100	100	9.090909091	40.954912	38550329	2404583	1	0.25	1	0.5	0.5	1	1	1	1	1	1000
141	40849612	8169922400	40849612	200	5392	342	33865	9606	6.111284772	41	100	100	0	40.849612	38353176	2496436	1	0.5	1	1	0.5	1	1	1	1	1	989
142	39492681	7898536200	39492681	200	5389	355	33865	9606	5.384687984	41	100	100	9.090909091	39.492681	37366124	2126557	1	0.25	1	1	0.5	1	1	1	1	1	1004
143	37244210	7448842000	37244210	200	4346	425	42559	9606	1.64281898	41	100	100	0	37.24421	36632356	611854	1	0.5	1	1	0.5	1	1	1	1	1	924
144	42900095	8580019000	42900095	200	5370	335	59833	9606	6.480878879	41	100	100	0	42.900095	40119792	2780303	1	0.5	1	0.5	0.5	1	1	1	1	1	983
145	41580445	8316089000	41580445	200	5283	332	42557	9606	5.910051385	41	100	100	0	41.580445	39123020	2457425	1	0.5	1	0.5	0.5	1	1	1	1	1	923
146	42215956	8443191200	0	200	5283	327	59833	9606	6.581090263	40	100	100	0	42.215956	39437686	2778270	1	0.5	1	0.5	0.5	1	1	1	1	1	984
147	42267474	8453494800	0	200	5205	330	33847	9606	6.915230148	41	100	100	0	42.267474	39344581	2922893	1	1	1	0.5	0.5	1	1	1	1	1	977
